ROW_ID,conversion
0,0.015508671
1,0.013533606
2,0.06695015
3,0.046784583
4,0.25363487
5,0.005828469
6,0.013173407
7,0.0110836895
8,0.027337264
9,0.013888834
10,0.1180701
11,0.036828823
12,0.038666148
13,0.007752899
14,0.028088985
15,0.05420522
16,0.10616118
17,0.0057717934
18,0.052873593
19,0.029909238
20,0.021141961
21,0.14456658
22,0.0089697745
23,0.013239725
24,0.005297496
25,0.007081808
26,0.0039618844
27,0.010504118
28,0.033095337
29,0.15347274
30,0.016836498
31,0.043111242
32,0.0394709
33,0.012201568
34,0.021956576
35,0.25553244
36,0.06881998
37,0.0074079074
38,0.18210241
39,0.122333005
40,0.028880889
41,0.013195188
42,0.0017094819
43,0.004020727
44,0.040834546
45,0.029202873
46,0.009248393
47,0.024563214
48,0.0021911291
49,0.017016763
50,0.07166107
51,0.02973397
52,0.17939055
53,0.03420374
54,0.12448222
55,0.055580158
56,0.046486966
57,0.021956116
58,0.22588105
59,0.048527475
60,0.084513076
61,0.0068571954
62,0.012409326
63,0.038798504
64,0.05056568
65,0.022810383
66,0.015081325
67,0.006512888
68,0.14187814
69,0.06295248
70,0.004985216
71,0.002527923
72,0.104228646
73,0.17920808
74,0.15193976
75,0.62817794
76,0.05350955
77,0.24515234
78,0.020479694
79,0.027989775
80,0.11517987
81,0.01710199
82,0.08273282
83,0.09304348
84,0.050599486
85,0.15181147
86,0.042984113
87,0.024232663
88,0.05883157
89,0.0033932854
90,0.052823972
91,0.12911788
92,0.017327728
93,0.056143273
94,0.007683247
95,0.012492341
96,0.053484537
97,0.12002822
98,0.005516408
99,0.03132383
100,0.07858347
101,0.069812156
102,0.02729426
103,0.01494208
104,0.40990245
105,0.0027385382
106,0.010934161
107,0.26365638
108,0.01722618
109,0.06658347
110,0.000781594
111,0.05650362
112,0.13161772
113,0.020117057
114,0.020518985
115,0.0687211
116,0.031165352
117,0.024012277
118,0.16429609
119,0.15449043
120,0.33088192
121,0.15629503
122,0.012001192
123,0.063179396
124,0.043452684
125,0.072708674
126,0.030731402
127,0.027901435
128,0.020948635
129,0.0069718556
130,0.0053928355
131,0.002611383
132,0.02973561
133,0.009415974
134,0.0034697126
135,0.058003146
136,0.006916174
137,0.1660712
138,0.055004645
139,0.004189857
140,0.3438426
141,0.08398663
142,0.14243168
143,0.021869417
144,0.23000982
145,0.0039433534
146,0.0028727397
147,0.043679845
148,0.004624083
149,0.008807961
150,0.013471931
151,0.028737308
152,0.030785253
153,0.038872164
154,0.007005477
155,0.020787472
156,0.002683519
157,0.0880634
158,0.0043163127
159,0.018418744
160,0.18472725
161,0.00086423714
162,0.013215457
163,0.02403919
164,0.23067304
165,0.01826628
166,0.14760265
167,0.35961276
168,0.020705845
169,0.06730653
170,0.1405282
171,0.12211752
172,0.0031663224
173,0.0030146197
174,0.011544484
175,0.003837236
176,0.017676884
177,0.038011555
178,0.0114020845
179,0.063851744
180,0.10223434
181,0.090925224
182,0.0025007236
183,0.033394895
184,0.041199777
185,0.010496667
186,0.16340083
187,0.004889348
188,0.02624909
189,0.019310307
190,0.021166092
191,0.07983279
192,0.006903354
193,0.003484065
194,0.0713329
195,0.009555134
196,0.0059544523
197,0.0152282575
198,0.01770179
199,0.058409877
200,0.0057532922
201,0.019400116
202,0.030738145
203,0.06159382
204,0.019692462
205,0.037982788
206,0.48419473
207,0.024324112
208,0.005670427
209,0.0074662277
210,0.06420572
211,0.2343911
212,0.020315891
213,0.079657845
214,0.006809276
215,0.0031415394
216,0.031263214
217,0.10995955
218,0.035425734
219,0.15709722
220,0.06510978
221,0.12706484
222,0.042178232
223,0.19164093
224,0.053687137
225,0.15476844
226,0.010136907
227,0.25617474
228,0.0018644158
229,0.024592778
230,0.19934553
231,0.009745483
232,0.035439007
233,0.025394587
234,0.019915741
235,0.015140538
236,0.034086756
237,0.022183452
238,0.016393457
239,0.030881206
240,0.00883492
241,0.036199223
242,0.038226165
243,0.13238186
244,0.013151047
245,0.0048172264
246,0.006339877
247,0.045786086
248,0.0052685584
249,0.02613445
250,0.5097584
251,0.0040270905
252,0.18936469
253,0.042355683
254,0.33760154
255,0.07312097
256,0.018109431
257,0.0056836614
258,0.049309947
259,0.075573266
260,0.11031751
261,0.00581895
262,0.018813895
263,0.001378616
264,0.006772919
265,0.029775415
266,0.02950655
267,0.005311417
268,0.012513823
269,0.034289196
270,0.028424114
271,0.027943907
272,0.37917957
273,0.037574183
274,0.0341252
275,0.04060515
276,0.023663882
277,0.023087334
278,0.028141344
279,0.16805318
280,0.003301418
281,0.16606611
282,0.026447996
283,0.018807286
284,0.034957297
285,0.015947549
286,0.024678921
287,0.010197521
288,0.03866047
289,0.11911416
290,0.002974618
291,0.112329826
292,0.11903787
293,0.1026136
294,0.47042736
295,0.06404871
296,0.049101483
297,0.13899559
298,0.050955866
299,0.018720217
300,0.042660333
301,0.092571974
302,0.0041134125
303,0.21052496
304,0.00040837313
305,0.074314564
306,0.060417067
307,0.0015947062
308,0.2706251
309,0.030669615
310,0.18286704
311,0.24424775
312,0.007048514
313,0.23085491
314,0.017271323
315,0.09848376
316,0.057816323
317,0.026672967
318,0.060279272
319,0.020110901
320,0.11627224
321,0.17808089
322,0.08746936
323,0.022076795
324,0.07403905
325,0.0234474
326,0.021402143
327,0.1513018
328,0.019084906
329,0.029822899
330,0.0059316987
331,0.004216441
332,0.0023252433
333,0.11035383
334,0.52737176
335,0.00028838144
336,0.15294434
337,0.011007184
338,0.0033288319
339,0.01735612
340,0.16914307
341,0.025029156
342,0.04677823
343,0.06098651
344,0.047275975
345,0.29607677
346,0.13794872
347,0.00837159
348,0.02349546
349,0.023611933
350,0.024937356
351,0.11470991
352,0.020524422
353,0.019612907
354,0.2738569
355,0.04919854
356,0.15665147
357,0.0070782346
358,0.26069993
359,0.10814045
360,0.051133532
