ROW_ID,conversion
0,0.016508555
1,0.01141793
2,0.061380595
3,0.04527235
4,0.119703956
5,0.0013959862
6,0.010470178
7,0.005526397
8,0.03742606
9,0.051985748
10,0.07027221
11,0.09611953
12,0.023925109
13,0.0037014717
14,0.047342263
15,0.023163384
16,0.14377747
17,0.008064002
18,0.03918866
19,0.017353306
20,0.016220743
21,0.07941719
22,0.019968899
23,0.005954622
24,0.008037232
25,0.0026957327
26,0.00091472437
27,0.008948406
28,0.062441807
29,0.11569016
30,0.009386261
31,0.035357922
32,0.013048388
33,0.009039322
34,0.0031446638
35,0.114478715
36,0.081403516
37,0.0050881193
38,0.054667495
39,0.120962664
40,0.023123998
41,0.022714734
42,0.0027433424
43,0.0047631273
44,0.10978765
45,0.049466398
46,0.016041268
47,0.012006678
48,0.004774756
49,0.019042235
50,0.03487965
51,0.01893099
52,0.33181846
53,0.01947526
54,0.15241562
55,0.04611079
56,0.097160496
57,0.015465722
58,0.31488517
59,0.013384157
60,0.07958434
61,0.007903836
62,0.025680108
63,0.037867732
64,0.019630825
65,0.017886534
66,0.010531659
67,0.004913722
68,0.18175153
69,0.012220358
70,0.00531705
71,0.0019560533
72,0.12909058
73,0.16613218
74,0.035460245
75,0.32281148
76,0.030895486
77,0.14424369
78,0.019031744
79,0.01690345
80,0.026678447
81,0.0057386146
82,0.12188008
83,0.10892133
84,0.039431836
85,0.14323784
86,0.024792256
87,0.07095944
88,0.09133322
89,0.0029166178
90,0.04177838
91,0.12721832
92,0.023263497
93,0.07547284
94,0.0037473515
95,0.009185315
96,0.013390159
97,0.16123912
98,0.0054856804
99,0.03597941
100,0.050030738
101,0.05284629
102,0.043252837
103,0.01947818
104,0.118778646
105,0.0043236534
106,0.008789729
107,0.23143911
108,0.015845427
109,0.03502601
110,0.00062626257
111,0.06526438
112,0.11033753
113,0.020003885
114,0.017422808
115,0.04569873
116,0.024346394
117,0.024347236
118,0.07220471
119,0.15422371
120,0.13270801
121,0.030810755
122,0.030863447
123,0.029330626
124,0.02584269
125,0.02308555
126,0.03221221
127,0.017387725
128,0.038172707
129,0.0033995383
130,0.001769122
131,0.005436139
132,0.008534254
133,0.022908403
134,0.0009497608
135,0.026188895
136,0.0039028784
137,0.10514915
138,0.072899245
